帖子,评论,相关度
毕设问题求救,们救救,0.0
毕设问题求救,鼠鼠是双培的今年秋季刚回工大对什么都不了解想问问毕设问题,0.36938518
毕设问题求救,每个选题能有几个人选是最后只能一个人吗,0.0
毕设问题求救,计算机学院有没有什么避雷的老师,0.0
毕设问题求救,帮顶,0.0
毕设问题求救,一个题目一人最好和老师商量好了再选有些内定人选,0.0
毕设问题求救,双培我给磕一个,0.0
好久没发帖子了,有没有还不认识我的,0.0
好久没发帖子了,你是我脑婆,0.0
好久没发帖子了,你是,0.0
好久没发帖子了,所以说你到底玩不玩守望先锋啊,0.0
好久没发帖子了,你谁,0.0
空白且无事,无事发生,0.0
我们工带人是这样的嘛,要想成功,0.0
我们工带人是这样的嘛,火星救援,0.0
我们工带人是这样的嘛,北京申奥成功啦,0.0
我们工带人是这样的嘛,天翼太快啦,0.0
我们工带人是这样的嘛,村里刚通网捏,0.0
我们工带人是这样的嘛,中国进啦,0.0
大家好,我是茶道小船今天第一次来这个吧有什么需要注意的吗,0.0
大家好,等,0.0
大家好,胆寄贴吧,0.0
大家好,第一次来就级是吧,0.0
大家好,八级,0.0
大家好,打个郊县,0.0
大家好,玩原神,0.0
大家好,经验卡我一张,0.0
大家好,取关,0.0
大家好,注意玩原神的,0.0
大家好,我,0.0
大家好,每天晚上秋裤反穿,0.0
北理工阳性上热搜了,咱们北工大输麻了早就了无人问津,0.5349086
北理工阳性上热搜了,百工也配和人家北理相提并论吗,0.0
北理工阳性上热搜了,人是,0.0
北理工阳性上热搜了,咱们,0.0
北理工阳性上热搜了,你一大专的凑什么热闹,0.0
北理工阳性上热搜了,你想要啥关心怎么就无人问津了笑死了这都啥脑回路,0.30415288
请教如何进学校打印成绩单,哪位同学能告诉我怎么打成绩单啊留学要用但是我现在毕业了没学生卡能进学校吗还是要通过什么途径申请进学校,0.34591535
请教如何进学校打印成绩单,找还在学校的熟人去二教自助打印机打印打完了给你寄回去就行我记得需要学号和身份证号吧第一次打印都是免费的,0.268652
请教如何进学校打印成绩单,你要不问问当年的辅导员二教二楼打印机能打出国成绩单捏,0.06535426
请教如何进学校打印成绩单,联系档案馆好像可以,0.0
请教如何进学校打印成绩单,同问教务处电话完全打不通,0.0
们粗大事了,如图,0.0
们粗大事了,原神怎么你了,0.3221896
们粗大事了,根本难不倒我,0.0
们粗大事了,你说的对但是原神姦行原神,0.0
们粗大事了,眠原神中国翻訳,0.0
们粗大事了,夏原神中国翻訳,0.0
们粗大事了,大刃原神中国翻訳,0.0
们粗大事了,原神中国翻訳版,0.0
们粗大事了,原神会員制原神中国翻訳版,0.0
们粗大事了,仕事捗甘雨様原神,0.36638302
们粗大事了,蛍綾華教巻込本原神中国翻訳,0.0
们粗大事了,犬狐交夜原神中国翻訳,0.0
们粗大事了,北都仙狐宮司恩返雷神添原神中国翻訳,0.0
们粗大事了,原神中国翻訳,0.0
们粗大事了,西原神中国翻訳,0.0
们粗大事了,往生原神中国翻訳,0.0
们粗大事了,色満身原神中国翻訳,0.0
们粗大事了,侍原神原神中国翻訳,0.0
们粗大事了,寿司原神中国翻訳,0.0
们粗大事了,裟羅夢中脱童貞原神中国翻訳,0.0
们粗大事了,甘雨甘香原神中国翻訳,0.0
们粗大事了,素直気持原神中国翻訳,0.0
们粗大事了,助仕事原神中国翻訳图片,0.0
们粗大事了,图都包浆了,0.25343454
有考过运筹学的同学么,话说张真宁老师考试都考什么题啊作业么开卷不让看作业也太难受了,0.0
评论,找辅导员或者学校心理中心,0.0
评论,心理中心预约一下心理辅导,0.0
评论,可以去北工大心理中心预约下心理咨询,0.0
评论,首先呢你应该直接把问题抛出来像这样直接发个二维码别人不知道你是骗子还是麦片的其次贴吧里本科生居多而且很多乐子人大多数都是看热闹的,0.0
评论,学校有免费心理辅导一学期最多六次每周一次,0.0
评论,发生什么了捏如果是真的的话可以加让你发泄发泄,0.0
评论,太哈人了,0.0
评论,学姐让我来帮你,0.0
本打算考本校的研究生,打算报考计算机,0.57735026
本打算考本校的研究生,不知道导师老板们怎么样捏,0.0
本打算考本校的研究生,本科时候哪个专业要跨专业么,0.0
本打算考本校的研究生,快跑,0.0
大家有没有在实训楼上的课,实训楼的老师是不是都多少沾点啊鼠鼠一共三节在实训楼上的课三个老师两个摆子一个事巨多这种人为什么能在本部教书呢现在感觉大一时候通州那些老师真的好负责大家有没有在实训楼上的课老师怎么样呢,0.47289443
大家有没有在实训楼上的课,提醒下报选修课的大伙不要报李家君的程序设计基础不要报李家君的程序设计基础不要报李家君的程序设计基础想学可以报别人的或者自学都比他教的更强,0.006752454
大家有没有在实训楼上的课,是这样的模电实验讲半个小时就剩下的自己做下课,0.00617657
大家有没有在实训楼上的课,之前在实训楼上电子实验的老师感觉他可能也不知道自己在教什么纯纯的混而且管实验室的还特拽,0.18911391
大家有没有在实训楼上的课,回复贴吧用户是这样的我也已经上过了特么的李家军告诉你考试之前他还发一套卷子给你做考的一模一样吧,0.005606344
大家有没有在实训楼上的课,实训楼离一号楼真的好远,0.050672945
大家有没有在实训楼上的课,选修课选计院嫌弃高是吧,0.0
大家有没有在实训楼上的课,我们去的时候都没有老师只有助教,0.0038742712
北京工业大学考研答疑贴,作为一个过来人不敢谈什么感想只希望大家能够多努力成功考上自己的目标院校,0.0
北京工业大学考研答疑贴,对于专业课有什么不会或者不清楚的都可以在本帖回复我都会一一进行回复,0.0
北京工业大学考研答疑贴,分享一些考研经验,0.31265882
北京工业大学考研答疑贴,数学,0.0
北京工业大学考研答疑贴,一定要多练我就是吃了大亏上考场不熟练做题就慢课看了一遍就行了不要反复来回刷浪费时间只有自己做题才知道是不是真会了,0.0
北京工业大学考研答疑贴,考研英语,0.56910086
北京工业大学考研答疑贴,基础薄弱的同学可以用太阳城考研英语件套单词书恋恋有词红宝书墨墨背单词需要充值但很好用扇贝闪过英语考研词汇闪过频考词基础词偶考词超纲词已划分划重点背诵可以节省时间单词书推荐了好几本选一本就可以个人觉得第一本很好,0.13258144
北京工业大学考研答疑贴,考研政治,0.64504707
北京工业大学考研答疑贴,个人觉得腿姐和徐涛都不错政治小白一定要听课不然分的多选题分的单选题还不知道拿几分主要是方便理解,0.0
北京工业大学考研答疑贴,政治用了肖秀荣的精讲精练题肖四肖八各个老师的模拟题还有课后习题讲解,0.0
北京工业大学考研答疑贴,学长请问一下有信号系统的吗,0.0
北京工业大学考研答疑贴,有没有详细一点的土木水利专业课大纲,0.0
北京工业大学考研答疑贴,材料科学基础谢谢,0.0
北京工业大学考研答疑贴,谢谢分享,0.0
北京工业大学考研答疑贴,书山有路勤为径学海无涯苦作舟,0.0
北京工业大学考研答疑贴,学长打扰了想问一下土木水利的结构与岩土是各占多少分呢大致的题型是怎样的,0.0
北京工业大学考研答疑贴,有控制科学的题吗,0.0
北京工业大学考研答疑贴,有信号与系统的资料吗,0.0
北京工业大学考研答疑贴,学长有年真题答案嘛,0.0
研究生论文可以用学校的账号在知网免费查重吗,如题有了解的同学不,0.037211575
研究生论文可以用学校的账号在知网免费查重吗,不可以吧一般都是学院给查可以淘宝看看,0.3241796
研究生论文可以用学校的账号在知网免费查重吗,学信网有一次免费查重的机会,0.4869581
我们是,有一说一提醒各位同学以后做简历的时候确实要标一下北工大是要不然有的企业真不知道,0.056210287
我们是,输,0.0
我们是,错误的是我们,0.6431325
我们是,错误的是橘子捏,0.18495107
我们是,错误的是大专我们要有自知之明捏,0.25889617
我们是,我们不是大专吗,0.16169877
我们是,我们就是,0.24482976
我们是,删你评论,0.0
我们是,憨皇,0.0
原来是假阳,小卖部恐成唯一赢家,0.0
原来是假阳,你看的比我都准,0.0
原来是假阳,我超,0.0
哈哈哈嗨嗨,我认为应该是木,0.0
哈哈哈嗨嗨,你说得对但是忘了,0.0
哈哈哈嗨嗨,差不多得了这就一,0.0
哈哈哈嗨嗨,原神怎么你了,0.0
哈哈哈嗨嗨,钝角,0.0
哈哈哈嗨嗨,蓝色药丸,0.0
哈哈哈嗨嗨,你说得对但是我们这个压缩毛巾体积小方便携带拆开一包放水里就变大怎么扯都扯不坏用来擦脚擦脸擦嘴都是很好用的你看打开以后像圆饼一样大小放在水里遇水变大变高吸水性很强的打开以后是一条加大加厚的毛巾你看他怎么挣都挣不坏好不掉毛不掉絮使用七八次都没问题出差旅行带上它非常方便用它擦擦脚再擦擦嘴擦擦脸干净卫生什么在哪里买下方小黄车买五包送五包还包邮,0.0
哈哈哈嗨嗨,这棵树今天每日健康打卡了吗,0.0
今天是呆唯的生日,快来说生日快乐,0.0
今天是呆唯的生日,生日快乐,0.0
今天是呆唯的生日,生日快乐捏,0.0
今天是呆唯的生日,生日快乐捏,0.0
